# Time-averaged data for fix 3
# TimeStep v_strain v_stress_GPa
100 5.05e-05 0.55249
200 0.0001505 0.626075
300 0.0002505 0.649346
400 0.0003505 0.617249
500 0.0004505 0.570608
600 0.0005505 0.645799
700 0.0006505 0.684564
800 0.0007505 0.578562
900 0.0008505 0.664914
1000 0.0009505 0.734625
1100 0.0010505 0.614324
1200 0.0011505 0.614484
1300 0.0012505 0.579823
1400 0.0013505 0.632103
1500 0.0014505 0.63747
1600 0.0015505 0.753005
1700 0.0016505 0.685225
1800 0.0017505 0.671444
1900 0.0018505 0.645962
2000 0.0019505 0.558733
2100 0.0020505 0.705913
2200 0.0021505 0.563484
2300 0.0022505 0.723339
2400 0.0023505 0.752896
2500 0.0024505 0.75615
2600 0.0025505 0.636167
2700 0.0026505 0.60146
2800 0.0027505 0.649726
2900 0.0028505 0.672195
3000 0.0029505 0.69324
3100 0.0030505 0.718473
3200 0.0031505 0.695885
3300 0.0032505 0.72026
3400 0.0033505 0.689971
3500 0.0034505 0.689929
3600 0.0035505 0.711373
3700 0.0036505 0.732158
3800 0.0037505 0.757445
3900 0.0038505 0.732655
4000 0.0039505 0.735793
4100 0.0040505 0.686429
4200 0.0041505 0.645216
4300 0.0042505 0.755956
4400 0.0043505 0.757088
4500 0.0044505 0.707093
4600 0.0045505 0.729493
4700 0.0046505 0.744566
4800 0.0047505 0.79684
4900 0.0048505 0.783086
5000 0.0049505 0.746325
5100 0.0050505 0.735721
5200 0.0051505 0.750093
5300 0.0052505 0.860579
5400 0.0053505 0.742473
5500 0.0054505 0.824896
5600 0.0055505 0.75228
5700 0.0056505 0.744955
5800 0.0057505 0.829066
5900 0.0058505 0.832583
6000 0.0059505 0.786982
6100 0.0060505 0.849842
6200 0.0061505 0.77726
6300 0.0062505 0.820887
6400 0.0063505 0.827567
6500 0.0064505 0.778449
6600 0.0065505 0.812127
6700 0.0066505 0.839534
6800 0.0067505 0.855912
6900 0.0068505 0.841615
7000 0.0069505 0.854359
7100 0.0070505 0.825073
7200 0.0071505 0.784706
7300 0.0072505 0.838745
7400 0.0073505 0.862357
7500 0.0074505 0.885485
7600 0.0075505 0.937641
7700 0.0076505 0.831195
7800 0.0077505 0.859983
7900 0.0078505 0.833051
8000 0.0079505 0.869773
8100 0.0080505 0.933892
8200 0.0081505 0.88771
8300 0.0082505 0.888374
8400 0.0083505 0.857545
8500 0.0084505 0.876049
8600 0.0085505 0.815485
8700 0.0086505 0.904576
8800 0.0087505 0.866061
8900 0.0088505 0.925751
9000 0.0089505 0.906509
9100 0.0090505 0.868364
9200 0.0091505 0.941047
9300 0.0092505 0.883489
9400 0.0093505 0.867722
9500 0.0094505 0.849591
9600 0.0095505 0.864052
9700 0.0096505 0.952117
9800 0.0097505 0.948482
9900 0.0098505 0.853797
10000 0.0099505 0.949408
10100 0.0100505 0.928395
10200 0.0101505 0.952333
10300 0.0102505 0.972577
10400 0.0103505 0.86309
10500 0.0104505 0.993652
10600 0.0105505 0.890675
10700 0.0106505 0.960581
10800 0.0107505 0.980598
10900 0.0108505 0.938734
11000 0.0109505 0.959097
11100 0.0110505 0.906396
11200 0.0111505 0.96591
11300 0.0112505 0.968059
11400 0.0113505 0.931216
11500 0.0114505 1.00097
11600 0.0115505 0.950902
11700 0.0116505 0.900814
11800 0.0117505 0.951161
11900 0.0118505 1.04575
12000 0.0119505 1.00298
12100 0.0120505 1.00112
12200 0.0121505 0.941062
12300 0.0122505 0.961818
12400 0.0123505 0.974545
12500 0.0124505 1.06545
12600 0.0125505 1.0537
12700 0.0126505 0.973277
12800 0.0127505 0.975302
12900 0.0128505 0.947093
13000 0.0129505 0.993242
13100 0.0130505 1.07361
13200 0.0131505 1.07328
13300 0.0132505 1.03433
13400 0.0133505 1.0299
13500 0.0134505 0.957049
13600 0.0135505 1.07762
13700 0.0136505 1.04859
13800 0.0137505 1.0429
13900 0.0138505 1.01652
14000 0.0139505 1.00843
14100 0.0140505 1.03332
14200 0.0141505 1.07054
14300 0.0142505 1.0085
14400 0.0143505 1.00998
14500 0.0144505 1.07157
14600 0.0145505 1.05042
14700 0.0146505 1.07249
14800 0.0147505 1.04877
14900 0.0148505 1.06669
15000 0.0149505 1.0357
15100 0.0150505 1.09661
15200 0.0151505 1.08098
15300 0.0152505 1.09943
15400 0.0153505 1.0996
15500 0.0154505 1.03423
15600 0.0155505 1.02121
15700 0.0156505 1.1034
15800 0.0157505 1.16411
15900 0.0158505 1.17043
16000 0.0159505 1.15389
16100 0.0160505 1.01918
16200 0.0161505 1.06517
16300 0.0162505 1.07971
16400 0.0163505 1.10835
16500 0.0164505 1.26829
16600 0.0165505 1.14883
16700 0.0166505 1.10136
16800 0.0167505 1.07796
16900 0.0168505 1.03488
17000 0.0169505 1.15523
17100 0.0170505 1.17197
17200 0.0171505 1.18015
17300 0.0172505 1.14238
17400 0.0173505 1.13985
17500 0.0174505 1.03286
17600 0.0175505 1.14238
17700 0.0176505 1.11642
17800 0.0177505 1.18708
17900 0.0178505 1.12351
18000 0.0179505 1.17703
18100 0.0180505 1.16463
18200 0.0181505 1.17578
18300 0.0182505 1.18157
18400 0.0183505 1.11651
18500 0.0184505 1.06205
18600 0.0185505 1.2554
18700 0.0186505 1.27337
18800 0.0187505 1.21193
18900 0.0188505 1.22363
19000 0.0189505 1.04992
19100 0.0190505 1.19169
19200 0.0191505 1.15787
19300 0.0192505 1.23791
19400 0.0193505 1.21537
19500 0.0194505 1.21465
19600 0.0195505 1.19945
19700 0.0196505 1.1686
19800 0.0197505 1.12036
19900 0.0198505 1.23493
20000 0.0199505 1.21736
20100 0.0200505 1.22214
20200 0.0201505 1.20313
20300 0.0202505 1.28349
20400 0.0203505 1.16587
20500 0.0204505 1.2129
20600 0.0205505 1.14504
20700 0.0206505 1.23558
20800 0.0207505 1.22264
20900 0.0208505 1.18432
21000 0.0209505 1.25841
21100 0.0210505 1.25446
21200 0.0211505 1.19596
21300 0.0212505 1.27141
21400 0.0213505 1.14479
21500 0.0214505 1.16817
21600 0.0215505 1.22431
21700 0.0216505 1.3265
21800 0.0217505 1.31524
21900 0.0218505 1.25997
