# Time-averaged data for fix 3
# TimeStep v_strain v_stress_GPa
100 2.525e-05 0.494872
200 7.525e-05 0.47074
300 0.00012525 0.370693
400 0.00017525 0.552298
500 0.00022525 0.559722
600 0.00027525 0.561352
700 0.00032525 0.589865
800 0.00037525 0.594224
900 0.00042525 0.512799
1000 0.00047525 0.494526
1100 0.00052525 0.499592
1200 0.00057525 0.513671
1300 0.00062525 0.475765
1400 0.00067525 0.565221
1500 0.00072525 0.611844
1600 0.00077525 0.550136
1700 0.00082525 0.541884
1800 0.00087525 0.516508
1900 0.00092525 0.525305
2000 0.00097525 0.509823
2100 0.00102525 0.55752
2200 0.00107525 0.589195
2300 0.00112525 0.589924
2400 0.00117525 0.593562
2500 0.00122525 0.571783
2600 0.00127525 0.573427
2700 0.00132525 0.525625
2800 0.00137525 0.538979
2900 0.00142525 0.532515
3000 0.00147525 0.596458
3100 0.00152525 0.623526
3200 0.00157525 0.615229
3300 0.00162525 0.61742
3400 0.00167525 0.641885
3500 0.00172525 0.573539
3600 0.00177525 0.49295
3700 0.00182525 0.542513
3800 0.00187525 0.573355
3900 0.00192525 0.573203
4000 0.00197525 0.648987
4100 0.00202525 0.678989
4200 0.00207525 0.61006
4300 0.00212525 0.573116
4400 0.00217525 0.598575
4500 0.00222525 0.556504
4600 0.00227525 0.553888
4700 0.00232525 0.561237
4800 0.00237525 0.611436
4900 0.00242525 0.548372
5000 0.00247525 0.612299
5100 0.00252525 0.641689
5200 0.00257525 0.636061
5300 0.00262525 0.609155
5400 0.00267525 0.575383
5500 0.00272525 0.600409
5600 0.00277525 0.579937
5700 0.00282525 0.573715
5800 0.00287525 0.638772
5900 0.00292525 0.63804
6000 0.00297525 0.605936
6100 0.00302525 0.669093
6200 0.00307525 0.61781
6300 0.00312525 0.601322
6400 0.00317525 0.603893
6500 0.00322525 0.571679
6600 0.00327525 0.652457
6700 0.00332525 0.632844
6800 0.00337525 0.676105
6900 0.00342525 0.653077
7000 0.00347525 0.690713
7100 0.00352525 0.642235
7200 0.00357525 0.583575
7300 0.00362525 0.611149
7400 0.00367525 0.631481
7500 0.00372525 0.639549
7600 0.00377525 0.645626
7700 0.00382525 0.64459
